Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	TColor	TShape	DColor	DShape	Distractors	Channel1	Channel2	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	11	1_2	1	2	1	4	23_1_4	0	2	1	0	1.2279419899	-394.0	102.0	-387.0	100.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	12	1_2	1	2	1	1	23_1_1	0	-1	1	0	2.4955739975	-329.0	-278.0	-335.0	-277.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	13	ABS	0	0	1	3	24_1_3	NA	NA	0	1	7.44454503059	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	14	ABS	0	0	1	2	24_1_2	NA	NA	0	1	4.5926129818	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	15	ABS	0	0	1	4	24_1_4	NA	NA	0	1	3.67268204689	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	16	ABS	0	0	1	4	24_1_4	NA	NA	0	1	2.82629203796	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	17	ABS	0	0	1	4	24_1_4	NA	NA	0	1	2.80357003212	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	18	1_1	1	1	1	3	23_1_3	0	2	1	0	1.19256305695	446.0	163.0	440.0	159.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	19	1_2	1	2	1	3	23_1_3	0	1	1	0	6.3151371479	-331.0	353.0	-338.0	348.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	20	1_4	1	4	1	3	23_1_3	0	1	1	0	1.37829685211	353.0	237.0	363.0	243.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	21	ABS	0	0	1	2	24_1_2	NA	NA	0	1	6.03826785088	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	22	ABS	0	0	1	1	24_1_1	NA	NA	0	1	3.16309690475	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	23	ABS	0	0	1	3	24_1_3	NA	NA	0	1	5.82622599602	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	24	ABS	0	0	1	2	24_1_2	NA	NA	0	1	5.58583498001	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	25	1_3	1	3	1	4	23_1_4	0	-1	1	0	1.57533407211	337.0	103.0	329.0	107.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	26	ABS	0	0	1	4	24_1_4	NA	NA	0	1	2.3779540062	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	27	ABS	0	0	1	4	24_1_4	NA	NA	0	1	2.09028792381	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	28	1_1	1	1	1	2	23_1_2	0	1	1	0	3.71054792404	-178.0	106.0	-176.0	102.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	29	1_4	1	4	1	3	23_1_3	0	1	1	0	1.82626700401	-362.0	116.0	-368.0	109.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	30	1_1	1	1	1	4	23_1_4	0	3	1	0	1.74447607994	-384.0	-265.0	-379.0	-262.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	31	ABS	0	0	1	2	24_1_2	NA	NA	0	1	4.6504099369	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	32	ABS	0	0	1	2	24_1_2	NA	NA	0	1	6.83256196976	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	33	ABS	0	0	1	2	24_1_2	NA	NA	0	1	3.12011480331	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	34	ABS	0	0	1	1	24_1_1	NA	NA	0	1	3.44837117195	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	35	1_3	1	3	1	2	23_1_2	0	1	0	1	4.13214993477	191.0	382.0	None	None	0
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	36	ABS	0	0	1	4	24_1_4	NA	NA	0	1	3.1866312027	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	37	1_4	1	4	1	2	23_1_2	0	2	1	0	2.26220703125	188.0	-268.0	189.0	-275.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	38	1_2	1	2	1	4	23_1_4	0	2	1	0	0.8931889534	16.0	185.0	7.0	188.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	39	1_2	1	2	1	3	23_1_3	0	1	1	0	6.10631608963	68.0	-365.0	66.0	-368.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	40	1_3	1	3	1	1	23_1_1	0	2	1	0	1.59888100624	23.0	87.0	20.0	85.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	41	ABS	0	0	1	1	24_1_1	NA	NA	0	1	2.82196903229	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	42	ABS	0	0	1	3	24_1_3	NA	NA	0	1	7.96923017502	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	43	ABS	0	0	1	3	24_1_3	NA	NA	0	1	4.36269903183	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	44	ABS	0	0	1	3	24_1_3	NA	NA	0	1	4.20097208023	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	45	1_2	1	2	1	1	23_1_1	0	-1	1	0	2.54505419731	-83.0	-300.0	-86.0	-290.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	46	1_1	1	1	1	3	23_1_3	0	2	1	0	0.952038049698	-218.0	309.0	-222.0	306.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	47	1_4	1	4	1	1	23_1_1	0	3	1	0	1.26063799858	396.0	-404.0	395.0	-400.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	48	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.57535290718	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	49	ABS	0	0	1	3	24_1_3	NA	NA	0	1	7.79688310623	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	50	ABS	0	0	1	4	24_1_4	NA	NA	0	1	2.99846410751	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	51	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.5917289257	None	None	None	None	1
